"Col_Cancer","Lung_Cancer","Suicide","CHD","Brst_Cancer","Obesity","Smoker","Poverty","Few_Fruit_Veg","CHSI_State_Name.x"
19.4,74,8.6,181.8,24.8,NA,NA,14.6,NA,"Texas"
17.7,69.4,13.5,224.6,23.5,23.8,22.5,11,70.8,"Texas"
17.6,29.2,14.1,201,25.6,NA,NA,14.6,NA,"Texas"
27.6,77,12.4,213.1,27.6,24.8,28.5,17.5,79.5,"Texas"
19.5,41.7,11.7,192.7,30.5,NA,NA,21,NA,"Texas"
17.3,80.7,17.7,226.3,30,25.4,26.3,16.8,88.4,"Texas"
20.2,68.4,19.7,202.2,27.6,17.8,26.7,20.8,82,"Texas"
15.2,25.7,NA,142,NA,NA,NA,27.7,NA,"Texas"
17.9,89.7,12.8,168.8,23.4,NA,NA,14.2,NA,"Texas"
16.6,45.5,14.6,149.2,29.3,30.7,22.7,8.5,79.4,"Texas"
NA,62,NA,278.5,NA,NA,NA,12.7,NA,"Texas"
23.4,62.2,NA,212.6,NA,NA,NA,20.6,NA,"Texas"
29.5,72.6,21.2,293,31.3,NA,NA,19,NA,"Texas"
13,58,8.8,231.1,19.6,NA,NA,27.1,NA,"Texas"
22.5,67.8,13.4,184,29.2,32,22.8,11.5,76.4,"Texas"
14.9,70.9,NA,230.4,29.5,NA,NA,15.9,NA,"Texas"
NA,NA,NA,235.9,NA,NA,NA,7.3,NA,"Texas"
22.3,70.5,13.6,225.4,30.1,NA,NA,19.1,NA,"Texas"
19.3,60.5,13.9,231.5,20.6,NA,10.5,6.8,NA,"Texas"
18,66.3,14,182.9,26.8,NA,NA,18.3,NA,"Texas"
22.6,63,13.4,229,22.2,27.3,19.2,15.3,NA,"Texas"
23.7,72.1,14.6,245.2,29.7,NA,NA,16.4,NA,"Texas"
30.7,65.4,21.6,214.7,15.4,NA,NA,19.8,NA,"Texas"
20.3,78.7,20.1,150.6,28,NA,NA,17.6,NA,"Texas"
20.7,64.5,10.1,173.4,22,28.9,20.1,17.9,NA,"Texas"
19.4,51.9,8.8,181.5,24.5,19.1,16.1,18.9,77.1,"Texas"
18.4,37,NA,113.8,NA,NA,NA,18.3,NA,"Texas"
NA,72.1,NA,178.2,NA,NA,NA,16.4,NA,"Texas"
17.2,60.1,11.6,170.4,28.3,NA,NA,17.4,NA,"Texas"
28.6,80.4,NA,288.3,NA,NA,NA,12.9,NA,"Texas"
24.5,76.8,10.2,252.7,20.7,NA,NA,18.5,NA,"Texas"
NA,64.1,NA,192.4,NA,NA,NA,13.1,NA,"Texas"
21.1,54.2,15.8,197.5,25.2,28.1,21,14.7,78,"Texas"
16.2,62.8,17.6,162.7,36.7,NA,NA,10.1,NA,"Texas"
9,21.8,5.8,198.2,13.9,NA,NA,36.2,NA,"Texas"
27.8,76.5,11.4,234.2,23.1,NA,NA,19.1,NA,"Texas"
13.6,33.2,24.9,127.6,30.4,NA,NA,17.5,NA,"Texas"
NA,NA,NA,144.1,NA,NA,NA,12,NA,"Texas"
NA,78.5,NA,221.5,NA,NA,NA,16.2,NA,"Texas"
34.6,51,NA,239.6,NA,NA,NA,13.6,NA,"Texas"
22.5,36,14.4,215.5,32.5,NA,NA,20.1,NA,"Texas"
18,57,9.8,205.5,25.4,22.6,21.2,12.9,77.2,"Texas"
21.1,55.4,10.4,200.3,27.7,27,23,16.3,79.5,"Texas"
NA,NA,NA,201.9,NA,NA,NA,18,NA,"Texas"
17.4,46.9,12.3,233.4,23.9,NA,NA,21.8,NA,"Texas"
NA,53.7,NA,240.3,NA,NA,NA,12.9,NA,"Texas"
27,61.1,15.1,203,30.8,NA,NA,16.4,NA,"Texas"
NA,53,NA,188.6,NA,NA,NA,15.7,NA,"Texas"
22,57.1,15.9,196,19.3,19.8,19.2,16.7,80.1,"Texas"
18.4,45.3,12.9,149.3,23.6,18.7,19.6,13.9,73.1,"Texas"
12.9,71.4,19,181.9,24.8,NA,NA,17.8,NA,"Texas"
20.6,73,12.1,280.9,24.2,12.1,16.5,17.5,NA,"Texas"
20.5,81,15.4,232,30.5,NA,NA,15.9,NA,"Texas"
NA,45.4,NA,284.7,NA,NA,NA,16.3,NA,"Texas"
14.1,57.6,7.7,159.3,25.5,NA,NA,23.4,NA,"Texas"
16.6,30.2,8.8,179.7,24.3,NA,14.8,22.4,NA,"Texas"
20.8,66.3,20.2,231.6,24.4,20,24.3,14,NA,"Texas"
19.8,60.2,11.2,195.1,21.8,30.3,28.7,15.5,NA,"Texas"
15.4,32.4,15,293.1,NA,NA,NA,29.5,NA,"Texas"
19.2,63.9,13.8,195.7,20.8,24.4,22,19.4,NA,"Texas"
17.6,59.8,12.1,218.8,41,NA,NA,17.5,NA,"Texas"
27.2,63.6,10.4,196.4,23.6,NA,NA,17.1,NA,"Texas"
20.3,47.1,5.8,166.2,25.4,NA,NA,13.6,NA,"Texas"
11.5,25.5,6,173.3,15.7,23.8,24.3,27.1,78.1,"Texas"
16.4,56.6,10.3,195.4,23.7,NA,15.6,15.6,NA,"Texas"
23.7,58.7,23.7,272.5,26.1,NA,NA,13.8,NA,"Texas"
25.5,77.5,13.2,195.5,23.1,26.7,20.6,15.6,84.3,"Texas"
24.5,55.9,9.6,288.5,27.3,NA,NA,15.9,NA,"Texas"
10.6,37.2,5.8,149.5,22,NA,NA,30.2,NA,"Texas"
24.1,63.8,8.3,156.6,20.1,NA,24.3,18.1,NA,"Texas"
14.1,47,7.9,129.6,21.6,22.3,19.9,6.9,75.8,"Texas"
20.6,45.6,9,193.6,17.5,NA,19.3,12,NA,"Texas"
22.3,53.1,21.9,274,28.3,NA,NA,16.4,NA,"Texas"
18.3,73.8,13.3,248.9,27.6,28,23.4,10.8,NA,"Texas"
19.8,69.3,14.8,215.1,19.4,24.8,26.9,15.2,81.4,"Texas"
21.6,66.1,13,209.9,24.7,35.7,26.2,17.3,80.9,"Texas"
25.7,46.7,17.8,234.3,36.8,NA,NA,15.5,NA,"Texas"
26.6,61,17.2,219.5,26.1,NA,NA,16.4,NA,"Texas"
NA,23,10.5,172.1,NA,NA,NA,27,NA,"Texas"
16.6,24.9,12.1,240.3,19.2,NA,NA,32.7,NA,"Texas"
23.6,68.3,13.5,169.1,17.1,NA,NA,15.5,NA,"Texas"
19,57.2,13.2,134.6,30.2,20.7,NA,11.9,NA,"Texas"
21.6,52.2,14,148.2,26.9,NA,NA,14.7,NA,"Texas"
17.4,61.3,9.9,183.3,21.2,NA,9.7,16.3,NA,"Texas"
19.7,69.7,18.2,255.3,14.8,NA,NA,14.3,NA,"Texas"
13.4,29.1,6.5,157.8,16.9,32,13.9,29.5,80.2,"Texas"
25.5,71.8,15.6,225,28.5,NA,NA,18.2,NA,"Texas"
25.8,50.6,NA,191.7,25.9,NA,NA,9,NA,"Texas"
25.1,62.6,13.6,214.7,19.6,NA,NA,17.4,85.2,"Texas"
18.9,40.9,NA,201.3,23.9,NA,NA,19.7,NA,"Texas"
21.5,82,18.8,167.9,26.2,NA,NA,18.5,NA,"Texas"
19.4,73,10.4,219.8,24,NA,NA,10.6,NA,"Texas"
22.1,58.8,18.8,194.1,20.8,19.8,NA,18.2,NA,"Texas"
27.2,69.1,20.2,234.6,21.4,NA,NA,21.2,NA,"Texas"
17.5,57.7,NA,234.1,19.6,NA,NA,11.1,NA,"Texas"
32.5,50.3,NA,245.2,NA,NA,NA,22.7,NA,"Texas"
21.5,67,NA,190.6,NA,NA,NA,14.8,NA,"Texas"
21.3,67,15.5,177.4,16.6,NA,NA,20.6,NA,"Texas"
15.9,48.7,7.5,157.4,21.1,20.7,15,5.4,79.7,"Texas"
NA,42.8,NA,203.7,NA,NA,NA,18.5,NA,"Texas"
20.8,44.5,11.7,227.9,38.2,NA,NA,15.6,NA,"Texas"
14.1,56.7,NA,174.3,36.7,NA,NA,9.1,NA,"Texas"
15.7,46.2,9.3,125.5,24.6,25.4,23.2,9.9,84,"Texas"
20.9,58.5,14.7,219.9,32.2,NA,NA,18,NA,"Texas"
NA,55,NA,163.7,NA,NA,NA,18.6,NA,"Texas"
21.3,61.5,11.3,215.8,26.4,NA,NA,13.6,NA,"Texas"
15.4,73.8,11.1,220.6,30.7,21.8,NA,15.7,91.4,"Texas"
20.1,51.1,17.3,181.8,NA,17.1,13.2,10.1,NA,"Utah"
16.9,25.3,13.6,125.1,24,19.7,9.7,7.4,80.2,"Utah"
19.1,33.1,26.8,169.8,18.7,24.5,19.6,14.3,85.8,"Utah"
17.3,26.8,17.6,125.5,NA,23.6,19.6,11.6,81.6,"Utah"
NA,NA,NA,141.3,NA,16.8,NA,10,NA,"Utah"
15.9,59.8,23.8,81.1,NA,17.6,22.9,13.9,72.3,"Utah"
13.6,27.8,14.5,114.8,18.8,17.8,15.3,14.5,79.8,"Utah"
NA,17.3,14.6,143.1,34.3,24.8,17.5,9.7,88.3,"Utah"
17.3,29.1,NA,124.4,30.3,NA,18.8,9,NA,"Utah"
19.8,17.2,24.7,192.9,25.4,22.9,12.3,11.7,84.7,"Utah"
NA,21.9,16,149.6,NA,NA,10.2,4.7,NA,"Utah"
21,19.6,15,130.6,28.3,26,10.7,8.4,86.7,"Utah"
NA,NA,NA,150,NA,NA,NA,13.8,NA,"Utah"
NA,NA,NA,103.2,NA,NA,NA,7.7,NA,"Utah"
13.7,26.2,15.9,100.7,23.3,20.1,13.6,9.8,78.6,"Utah"
NA,19.1,13.5,123.9,NA,19.3,8.3,22.6,81.5,"Utah"
15.1,26.8,14.6,148.8,25.5,19.4,10.7,13.5,81.2,"Utah"
23,22.1,21.4,173.3,25.8,20.4,15.5,11.8,86.4,"Utah"
11.9,24.2,10.8,111.5,31.5,10.2,8.7,5.6,73.9,"Utah"
15.9,39.6,13.6,132.7,24.1,25.2,16.9,7.7,81.9,"Utah"
19.5,37.9,20.4,144.9,19.8,24.5,20.1,12.4,81.5,"Utah"
16.2,15.5,11.3,101.4,23.7,18.5,6.3,11.2,79.3,"Utah"
16.6,11.7,12.9,95.8,24.6,18.4,6.2,11.4,77.2,"Utah"
19.5,19.8,15.1,118.1,28,18.1,9.3,6.3,75.9,"Utah"
13.3,23.2,18.9,103.9,21.1,19.3,9.9,11.4,75.3,"Utah"
NA,NA,NA,167.9,NA,14.4,7.4,11.5,NA,"Utah"
12.2,29.2,17.9,116.4,23,21.8,14.6,9.9,81.3,"Utah"
22.9,36.4,28,174,18.7,22.1,19.4,13.5,84.2,"Utah"
NA,NA,NA,NA,NA,NA,NA,6.2,NA,"Utah"
29.9,80.2,14.2,263.9,27.9,30.7,29.2,17.3,79.3,"Arkansas"
10.6,71.5,16.6,192.2,21.3,29.2,30.1,19.9,NA,"Arkansas"
21.3,73.2,6.7,243.9,20.6,27.6,22.6,18.6,80.7,"Arkansas"
22.4,71.5,25.6,204.5,30.9,28.2,NA,14.8,NA,"Arkansas"
27.8,72.3,NA,288.2,26,28.9,20.9,28.4,79.6,"Arkansas"
18.9,70.6,NA,123.7,25.9,23.5,NA,15.6,81,"Arkansas"
20.4,71.2,8.9,279.4,22.4,25.2,23.7,20.3,83.9,"Arkansas"
23.4,85.3,16,247.8,23.9,29.7,42.6,20.5,79.9,"Arkansas"
27.8,71.5,15.6,267,29.2,24.8,21.9,19.1,74.5,"Arkansas"
20.9,69.5,10.7,182,26.9,28.4,26.6,16.5,81.2,"Arkansas"
27.5,75.5,12.9,169.3,22.5,25.8,17.8,15.4,NA,"Arkansas"
19.9,66.3,12.5,162.2,24.4,22.3,21,15.1,76.1,"Arkansas"
26.4,71,16.8,201.7,19.8,24.3,34.2,17.2,83.6,"Arkansas"
30.3,64.5,13.5,380.7,36.8,32.4,25.8,25.2,78.1,"Arkansas"
15.4,61.8,13.8,161.4,21.1,24.2,23.5,9.4,77.9,"Arkansas"
19.4,71.7,22.5,292.9,13.8,20.7,28.4,18.9,91.5,"Arkansas"
15.6,83.7,16.8,283.8,25.7,NA,23.5,21.8,87.8,"Arkansas"
20.5,80.6,NA,198.9,25,NA,NA,14.5,NA,"Arkansas"
23.4,64.8,14.9,227.2,24.5,26.4,20.5,15.4,75.8,"Arkansas"
19.6,69.2,19.7,226.5,17.7,25.1,26.1,17.8,79.1,"Arkansas"
18.5,60.5,15.4,224.4,31.6,23.7,26.1,19.9,76.5,"Arkansas"
23.7,63.3,11.5,203.7,27.2,21.6,22.8,18.4,76.7,"Arkansas"
21.4,72,14.7,138.3,35.3,27,25.8,17.7,80.3,"Arkansas"
22.9,70.8,22.9,142.5,28.5,29.6,28.8,17,76.4,"Arkansas"
21,67.5,12.6,150.1,23.4,18.6,21.4,13.8,77.6,"Arkansas"
20.6,77,15.1,200.1,21.9,24.1,24.2,15.5,80.5,"Arkansas"
36.9,93.8,10.7,250.5,27.7,NA,NA,23,NA,"Arkansas"
25.2,85.3,12.3,256.1,19.6,25.5,27.9,15.6,81,"Arkansas"
20.6,52.4,14.6,148,24.7,21,28.5,15.4,75.7,"Arkansas"
26.7,66,9.8,235.1,29.4,21.9,27.4,27.9,NA,"Arkansas"
21.6,61.5,10,230.8,27.8,20.8,16.2,17.2,75,"Arkansas"
26.7,84.8,13.1,282.9,20.2,29.7,34.6,17.1,76.8,"Arkansas"
18.4,65.3,16.7,122.1,22.4,25.1,21.9,14.4,72.7,"Arkansas"
17.4,64.2,12.6,199,NA,26.8,25.2,14.2,NA,"Arkansas"
28.5,66.4,9,219.8,38.7,23.8,23.2,20.3,84.6,"Arkansas"
18.4,60.1,14.7,186.7,23.2,26.5,32.2,16.5,87.2,"Arkansas"
20.1,75.2,13.5,276.2,31,30.2,29.7,17.8,88.8,"Arkansas"
21.6,66.5,12.2,209.5,25.9,29.1,25.1,15.9,77.7,"Arkansas"
17.4,77.3,15,258.6,22.1,21.1,27.5,14.2,82.6,"Arkansas"
22.3,84.1,12.8,262.9,29.5,30,25,22.5,83,"Arkansas"
28.9,75.5,16.4,216.1,36.2,30.2,32.8,19.6,79.1,"Arkansas"
23.3,69.4,NA,198.9,42.7,NA,14.8,18.7,NA,"Arkansas"
29.3,61,12,334,21.8,27.5,21.5,23.2,NA,"Arkansas"
22,68.6,13.3,224.9,25.4,21.6,28.2,18.4,80.3,"Arkansas"
22,59.7,9.6,98.2,20,23.6,19.8,12.8,78.6,"Arkansas"
18.5,73.7,13.1,214.1,21.9,27.4,31.7,16.4,85.3,"Arkansas"
16.1,73.6,13.7,178.7,23.1,27.6,30.9,18.2,81.4,"Arkansas"
23.2,71,24.5,156.9,24.8,22.7,25.4,13.7,71.9,"Arkansas"
18.3,67.4,19.3,137.2,23.5,22.3,28.3,16,76,"Arkansas"
15.5,65.5,17.7,231.2,26.6,31.6,33.7,10.9,88.3,"Arkansas"
16.7,73.1,19.4,268.1,12.6,29.5,31.7,15.4,82.5,"Arkansas"
20.9,75.2,14,230.3,29.9,24.4,26.2,19,78.2,"Arkansas"
22.5,70.7,13.8,186.2,16.7,28.1,22.1,15,79.4,"Arkansas"
18.1,74.8,12,253.1,39.1,26.1,25.9,15.7,NA,"Arkansas"
20.8,80,17.7,196.8,16.1,26.9,26,14.9,78.8,"Arkansas"
22.2,83.8,12.3,193.6,30.3,28.5,24.5,18.1,78,"Arkansas"
21,74.7,14.6,286.1,19.3,31,24.4,20.6,85.6,"Arkansas"
25.4,68.3,9.1,246.4,30,27.4,23.3,20.9,81.8,"Arkansas"
20.6,51.7,13.2,222.5,26.1,21.5,21.4,10,77.4,"Arkansas"
14.6,69.5,17,204.1,20.7,20.3,29,17.1,81,"Arkansas"
24.5,84.2,15.6,227.9,31.1,NA,NA,20.5,NA,"Arkansas"
20.6,91,14.9,210.4,18,28.6,37.8,19,89.1,"Arkansas"
22.6,82.3,12,265.3,37.4,NA,NA,29.1,NA,"Arkansas"
17.4,68.1,6.8,244.3,20.6,NA,NA,23.4,NA,"Arkansas"
21.9,73,21.1,227.7,23.8,22.1,33.7,15.4,NA,"Arkansas"
21.6,84.4,13.9,243.6,27.3,29.5,34.3,16.4,80.3,"Arkansas"
28.6,72,11.4,165.2,24.8,23.2,29.5,10.8,81.5,"Arkansas"
19.3,60.3,19.1,136.4,17.6,22.4,31.5,17,76.4,"Arkansas"
22.3,70.8,22,155.5,29.6,23.1,28.4,17.1,76.4,"Arkansas"
21.8,67.4,13.8,221.1,20.7,23.7,25.1,15.3,77.9,"Arkansas"
24.9,68.8,15.1,150.4,18.9,31,28.1,17.8,80.5,"Arkansas"
29.4,78.4,12.5,276,26.1,29.3,28.5,22.3,81.6,"Arkansas"
30.7,84.6,14.6,283.6,28.5,NA,NA,23.2,NA,"Arkansas"
14.2,56.9,24.4,176.2,20.3,14,23.7,17.3,82,"Arkansas"
22,67.1,10.3,200.3,26.2,NA,26.4,19.3,NA,"Arkansas"
14.6,50.6,8.9,152.9,23.5,19.7,19.5,8.7,68.8,"Vermont"
26.4,62.4,10.3,240.8,29.4,22.6,24,9.5,76.1,"Vermont"
14.9,49.1,NA,234.1,NA,21.3,15.3,7.2,69.2,"Vermont"
21.8,47.1,10,173.1,33.6,20,19.7,8.8,64.1,"Vermont"
18.6,48.6,13.9,182.1,17.3,19.9,20.6,9.2,69,"Vermont"
22.1,48.3,13.8,187.2,26.8,21.5,22.9,13.2,72.4,"Vermont"
18.7,55.9,14.4,169,20.6,21.6,22.8,10.3,74.2,"Vermont"
21.1,52.9,13.3,147.8,25.3,19.3,20.9,8.4,69.7,"Vermont"
21.1,56.8,13.2,154.9,31.9,18.6,19.9,9.7,66.5,"Vermont"
20.5,44.6,15.1,139.7,23.9,18.4,19.5,8.7,68.3,"Vermont"
18.4,56.1,9,127.6,24.6,19.2,19.5,10,71.4,"Vermont"
21.7,51.6,11.2,170.8,33.1,21.1,21.4,11.3,73.2,"Vermont"
22,46.3,13.5,159.3,28,15.8,17.1,7.6,66.3,"Vermont"
40.2,57.7,24.6,223.2,34.6,22.1,26.2,12.3,73.9,"Vermont"
21,67.1,11.1,156.1,45.7,26,21.3,15.4,76.2,"Virginia"
18.2,61.4,7.7,197.6,28.6,NA,16.3,7.1,NA,"Virginia"
24.4,68.9,10.8,169.9,37.3,NA,9.3,13.3,NA,"Virginia"
21.4,83.2,18.6,298.2,23.2,29.9,35.3,21.4,81.8,"Virginia"
15.5,53.8,10.2,116.5,29,17.5,13.4,3.7,76.4,"Virginia"
27.8,64.6,17.8,183.8,25.3,NA,NA,10.2,NA,"Virginia"
28.8,53.2,11.9,192,23.4,NA,NA,12.4,NA,"Virginia"
24,57.7,13.8,195.5,42,NA,NA,17.2,NA,"Virginia"
25,45.1,13.4,142.6,31.1,NA,NA,9.4,NA,"Virginia"
24.1,55.9,10.5,221.8,40.9,NA,NA,8.7,NA,"Virginia"
24.7,56.2,12.7,195.8,31.1,26.4,24.3,15.3,84.4,"Virginia"
19.3,61.5,11.8,192.1,24.6,NA,NA,11.5,NA,"Virginia"
20.5,48.6,8.1,176.2,24.4,23.6,17.9,15.1,77,"Virginia"
25.7,58.6,17.7,216,31.7,NA,NA,11.2,NA,"Virginia"
19.4,75.6,20.7,170.4,26.7,NA,NA,5.6,NA,"Virginia"
13.6,38.1,7.6,95.1,29.8,13.6,15.4,7.4,66.6,"Virginia"
25,85.2,7.2,164.1,34.8,22.8,21,18,NA,"Virginia"
22.4,65.7,12.5,152.1,23.2,NA,NA,12.2,NA,"Virginia"
29,72,13.2,184.3,34,NA,NA,17.2,NA,"Virginia"
24.6,58.8,14.7,173.1,28.3,24.5,26.4,8.6,NA,"Virginia"
18.8,56.8,12.6,209.4,29.5,21.4,NA,11.9,NA,"Virginia"
15.8,55.1,21,192.5,20.5,13.7,21.4,14.1,NA,"Virginia"
21.4,55.6,16.9,192.3,25.2,30.9,27.3,12.4,80.1,"Virginia"
21.1,72.8,11,138.9,24,NA,NA,5.9,NA,"Virginia"
20.5,70.2,8.2,161.1,21,21.1,NA,18.3,NA,"Virginia"
21.2,62.6,12.2,168.9,26.7,19.8,22.5,9.3,NA,"Virginia"
15.9,50.1,11.4,163,19.6,27.5,21.2,7.7,74.2,"Virginia"
15.9,50.4,7.8,125.6,26.9,23.5,20.6,6.1,71.8,"Virginia"
19.8,56.5,18.9,201.6,29.4,31.9,32.5,13,80.4,"Virginia"
15.9,40.2,13.5,173.2,NA,NA,NA,7.4,NA,"Virginia"
33.1,71,16.5,174.5,34.9,26,14.8,15.5,NA,"Virginia"
19.2,48,13.2,140.3,17.5,19.2,13.2,6.9,70.3,"Virginia"
27.3,52,13.7,173.8,28,21.3,NA,9.8,NA,"Virginia"
23.2,47.8,9.2,126.7,27.8,20.9,21.5,9,72.1,"Virginia"
22.3,64.2,21.3,201.9,27.8,29.8,28.6,16.7,76.9,"Virginia"
17.8,73.2,27.2,236.1,28.8,28.2,29.2,15.3,NA,"Virginia"
36.9,49.8,NA,329.7,NA,NA,NA,8,NA,"Virginia"
22,53.8,17.1,131.6,29.2,NA,19.7,8.9,NA,"Virginia"
19.6,74,14.4,239.8,23.3,22.8,NA,14.8,NA,"Virginia"
27.7,64.8,11.2,209.5,24.1,NA,NA,13.9,NA,"Virginia"
27.5,61.2,11.7,142.5,29.5,21.3,21.8,6,73.7,"Virginia"
22.9,59.2,9.2,146,25,23.3,19.2,5,78.7,"Virginia"
22.6,75.8,NA,226.3,23.8,NA,NA,10.9,NA,"Virginia"
22.9,67.2,15.2,223.7,34.7,NA,NA,17,NA,"Virginia"
15.8,66.9,20.2,247.1,24.6,25.9,26.3,15.5,79.2,"Virginia"
21.6,73.6,12.9,171.2,38.4,25.2,32,9.6,NA,"Virginia"
22.5,52.5,14.4,124.9,27.5,27.6,24.3,8,75.2,"Virginia"
19.5,68.8,15.3,177.8,21.4,24.1,24.1,12.2,77.8,"Virginia"
21,82.2,12.4,195.3,25.7,NA,NA,13.8,NA,"Virginia"
25.8,81.2,21.5,209,23.9,31.4,28.3,19.4,79.5,"Virginia"
16.8,58.9,18.4,187.5,25.8,25.2,32.4,12.7,NA,"Virginia"
16.6,51.9,7.9,163.4,29.7,16.7,10.9,5,NA,"Virginia"
26,43.9,26,240.6,26.9,NA,NA,12.3,NA,"Virginia"
16.6,43.7,15.6,161,19.5,27.1,15.1,6.3,NA,"Virginia"
26,63.6,11.5,249.1,39.7,NA,19.6,17.8,NA,"Virginia"
26.4,72.8,25.4,271.9,35.2,32.8,22.2,21.6,78.6,"Virginia"
15.8,58.6,10.9,183.4,29.5,NA,NA,17.2,NA,"Virginia"
18.3,43.8,10.6,104.8,24.5,16.5,17.1,7.6,64.9,"Virginia"
23.4,64.6,9.2,140.3,25.6,30.8,25,11.6,NA,"Virginia"
25.3,68.4,13.8,197.1,32.5,NA,NA,10,NA,"Virginia"
16.1,48.8,11.5,166.6,19.3,NA,NA,13.9,NA,"Virginia"
17.9,70.6,NA,217.6,37.2,NA,NA,10.4,NA,"Virginia"
28.2,77.9,10.5,202.2,32.4,NA,17.7,16,NA,"Virginia"
20.2,59.4,11.3,141.9,32.7,24.8,18.1,6.7,72,"Virginia"
27.5,64.1,15.5,177.9,37.2,NA,NA,6.7,NA,"Virginia"
NA,59.3,18.4,198.7,NA,NA,NA,9.6,NA,"Virginia"
17.1,54.9,17.7,158.8,36.5,24.2,20.8,9.2,79.4,"Virginia"
24.7,57,14.7,165.2,23.4,15,NA,14.2,NA,"Virginia"
22.8,53.8,11.7,239.4,20.8,NA,NA,11.1,NA,"Virginia"
17.8,71.2,19.3,220.9,31.6,NA,NA,18.4,NA,"Virginia"
17.4,46,8.5,98.1,24.4,15.9,18.6,8.8,67.6,"Virginia"
30.2,63.5,18.9,156.9,29.2,NA,NA,15.8,NA,"Virginia"
21.6,79.3,17.3,231.7,34,NA,NA,16.4,NA,"Virginia"
22.8,70.7,20.5,175.8,34.5,33.4,32.5,10.4,83.5,"Virginia"
28.9,82,NA,207.1,NA,NA,NA,11.6,NA,"Virginia"
14.9,59.8,11.6,135.9,24.5,11.7,14.2,17.8,NA,"Virginia"
24.1,65.9,7.9,164.7,31,22.7,22.1,9.1,78.5,"Virginia"
33.7,72,16.7,205.1,41.9,NA,NA,12.5,NA,"Virginia"
24.8,73.5,13.8,181.9,25.4,NA,NA,7.4,NA,"Virginia"
26.8,60.5,NA,255.5,21.5,NA,NA,12.7,NA,"Virginia"
16,37.2,7.3,92.5,24.9,15.1,14.7,5.8,71.5,"Virginia"
22.3,70.9,19.3,230.7,27.6,29.3,26.6,19.3,75,"Virginia"
27.3,91,NA,343.4,25.5,NA,NA,16.4,NA,"Virginia"
27.1,58.3,13.2,141.8,32.4,NA,NA,5.5,NA,"Virginia"
20.4,54.8,11,126.3,35.7,22.2,21.4,5.8,67.8,"Virginia"
15.9,44.6,9.4,96.8,33.3,NA,NA,3,NA,"Virginia"
31,74,11.3,240.6,39.6,NA,NA,17.3,NA,"Virginia"
14.5,46.8,11.8,170.3,17.6,20,NA,11.4,NA,"Virginia"
26,76,15.1,215.1,33.2,24,NA,14.1,NA,"Virginia"
27.6,77.7,19.5,218.4,29.6,NA,NA,17.9,NA,"Virginia"
16.9,51,11,152,34.4,16.6,9.4,6.5,NA,"Virginia"
25.4,60.1,8.5,190.8,31.4,23.8,21.5,13.1,75.6,"Virginia"
17.9,43.2,10.4,129.7,27.5,14.7,11.1,17.9,NA,"Virginia"
17.9,54.1,15.2,153.7,24.3,29.2,31.2,11.5,83.5,"Virginia"
27,90.6,14.4,224.4,28.3,25.8,31.2,16.4,NA,"Virginia"
30.1,69.1,NA,173.1,41.1,NA,NA,16.1,NA,"Virginia"
15.9,67,11,155.3,25.2,24,27.6,17.5,73.4,"Virginia"
26.8,64,NA,169.3,22.1,16.6,21.3,7.5,NA,"Virginia"
37.3,84,NA,139.3,NA,NA,NA,6.5,NA,"Virginia"
27.1,64.2,11.5,148.5,23.5,21.2,23.5,6.7,70.9,"Virginia"
24.1,54.2,19.9,245.2,35.9,NA,NA,17.9,NA,"Virginia"
26.5,70.1,9.7,166,33,NA,NA,9.7,87.7,"Virginia"
19.3,66,10.1,185.5,27.7,26,28.5,14,75.4,"Virginia"
21.5,71.1,19,194.6,31.1,NA,22.1,10.8,NA,"Virginia"
21,74,12.6,190,31.8,24.9,21,19.8,75.1,"Virginia"
NA,82.8,NA,268.9,NA,NA,NA,18.1,NA,"Virginia"
21.8,74.9,11.6,163,23,21.5,22.6,9,NA,"Virginia"
39.1,82.9,9.1,213.3,52,37.4,26,18.5,80.2,"Virginia"
13.7,57.5,12.8,253.2,41.2,NA,NA,4.8,NA,"Virginia"
25.9,72.1,13.4,189.9,35.4,30.7,22.4,16.5,78,"Virginia"
21.2,62,9.5,163.2,33.1,20.2,NA,7.2,NA,"Virginia"
27.2,77.4,19.1,185.7,26.7,NA,NA,18.5,NA,"Virginia"
22.7,72.6,11.5,169.4,34.4,24.8,26,20.2,69.6,"Virginia"
20.2,57.2,15.9,197.1,28.1,NA,NA,14.9,NA,"Virginia"
22.3,63.4,16.1,177.3,29.3,21,29.4,16.9,77.8,"Virginia"
18.1,63.4,11.2,194.5,27.7,23.7,NA,8.4,NA,"Virginia"
14,54.9,12.3,151.7,24.8,NA,NA,8,NA,"Virginia"
22.5,57.5,14.5,183.9,25,NA,NA,13.1,NA,"Virginia"
28.5,72.4,9.5,190.4,37,26.1,17.7,11.4,80.4,"Virginia"
26,65.2,10.8,232.7,29.7,NA,NA,16.2,NA,"Virginia"
19.2,61.7,9.8,157.2,25.6,19.5,21.5,8,75.3,"Virginia"
18.8,66.9,19.7,197.8,25.3,NA,NA,13.1,NA,"Virginia"
25.9,61.1,13.1,156.4,35.1,32,21.5,16.3,77.7,"Virginia"
26.3,68.2,16.4,249.4,37.6,NA,NA,17.5,NA,"Virginia"
23,79.8,15.8,210.8,31.2,NA,22.1,12,NA,"Virginia"
23.5,57.2,10.9,143.8,32.2,21.7,25.1,5.3,72.8,"Virginia"
